1,0,3,700,2,242,3,635,2401205,0.18,1.06,1.54,2
1,0,3,649,2,250,3,646,2401477,0.2,1.13,1.35,2
1,0,3,655,2,237,3,630,2401710,0.24,1.14,1.18,2
1,0,3,716,2,126,3,631,2401973,0.26,1.13,1.16,2
1,0,3,649,2,232,3,637,2402269,0.27,1.1,1.13,2
1,0,3,652,2,231,3,671,2402503,0.27,1.03,1.11,2
1,0,3,657,2,111,3,652,2402750,0.27,0.98,1.12,2
1,0,3,663,2,152,3,647,2403036,0.26,0.94,1.14,2
1,0,3,655,2,116,3,644,2403313,0.27,0.84,1.21,2
1,0,3,625,2,223,3,646,2403549,0.32,0.77,1.33,2
1,0,3,634,2,220,3,645,2403843,0.37,0.77,1.38,2
1,0,3,633,2,216,3,651,2404092,0.4,0.77,1.33,2
1,0,3,660,2,213,3,657,2404375,0.46,0.8,1.27,2
1,0,3,642,2,89,3,645,2404618,0.5,0.83,1.24,2
1,0,3,600,2,203,3,639,2404895,0.54,0.83,1.2,2
1,0,3,640,2,99,3,639,2405135,0.58,0.83,1.2,2
1,0,3,632,2,208,3,632,2405410,0.59,0.83,1.21,2
1,0,3,636,2,118,3,641,2405666,0.59,0.83,1.31,2
1,0,3,592,2,173,3,638,2405919,0.61,0.83,1.43,2
1,0,3,620,2,215,3,637,2406182,0.63,0.84,1.46,2
1,0,3,590,2,105,3,641,2406423,0.65,0.86,1.43,2
1,0,3,610,2,105,3,641,2406678,0.7,0.87,1.4,2
1,0,3,588,2,218,3,641,2406975,0.77,0.87,1.4,2
1,0,3,595,2,224,3,650,2407252,0.84,0.87,1.35,2
1,0,3,598,2,218,3,662,2407511,0.88,0.88,1.31,2
1,0,3,597,2,220,3,678,2407774,0.93,0.89,1.3,2
1,0,3,595,2,217,3,675,2408052,0.98,0.89,1.16,2
1,0,3,576,2,234,3,671,2408343,1.04,0.89,0.92,2
1,0,3,581,2,236,3,667,2408617,1.1,0.86,0.79,2
1,0,3,561,2,131,3,681,2408857,1.13,0.82,0.78,2
1,0,3,550,2,137,3,675,2409111,1.19,0.8,0.78,2
1,0,3,559,2,181,3,676,2409401,1.23,0.77,0.83,2
